"id","instance","device","method","disappear_at_goal","rand_seed","cost","run_time","comment","method_source","date_edit"
"131","map_8by8_obst12_agents8_ex1.yaml","12400F","whoenig-origin","1","-1","65","139.156","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:53:18"
"132","map_8by8_obst12_agents8_ex1.yaml","12400F","whoenig-origin","1","-1","65","138.572","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:56:46"
"133","map_8by8_obst12_agents8_ex2.yaml","12400F","whoenig-origin","1","-1","47","0.005013","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:05:41"
"134","map_8by8_obst12_agents8_ex2.yaml","12400F","whoenig-origin","1","-1","47","0.005199","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:05:43"
"135","map_8by8_obst12_agents8_ex2.yaml","12400F","whoenig-origin","1","-1","47","0.005085","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:05:43"
"136","map_8by8_obst12_agents8_ex2.yaml","12400F","whoenig-origin","1","-1","47","0.005111","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:05:45"
"137","map_8by8_obst12_agents8_ex2.yaml","12400F","whoenig-origin","1","-1","47","0.004941","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:05:46"
"138","map_8by8_obst12_agents8_ex3.yaml","12400F","whoenig-origin","1","-1","70","0.013828","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:05:53"
"139","map_8by8_obst12_agents8_ex3.yaml","12400F","whoenig-origin","1","-1","70","0.013504","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:05:55"
"140","map_8by8_obst12_agents8_ex3.yaml","12400F","whoenig-origin","1","-1","70","0.01357","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:05:56"
"141","map_8by8_obst12_agents8_ex3.yaml","12400F","whoenig-origin","1","-1","70","0.012699","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:05:57"
"142","map_8by8_obst12_agents8_ex3.yaml","12400F","whoenig-origin","1","-1","70","0.013597","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:05:58"
"143","map_8by8_obst12_agents8_ex4.yaml","12400F","whoenig-origin","1","-1","57","0.004057","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:06:09"
"144","map_8by8_obst12_agents8_ex4.yaml","12400F","whoenig-origin","1","-1","57","0.003937","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:06:11"
"145","map_8by8_obst12_agents8_ex4.yaml","12400F","whoenig-origin","1","-1","57","0.003707","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:06:12"
"146","map_8by8_obst12_agents8_ex4.yaml","12400F","whoenig-origin","1","-1","57","0.00403","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:06:13"
"147","map_8by8_obst12_agents8_ex4.yaml","12400F","whoenig-origin","1","-1","57","0.004158","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:06:14"
"148","map_8by8_obst12_agents8_ex5.yaml","12400F","whoenig-origin","1","-1","53","0.003241","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 19:06:20"
