"id","instance","device","method","disappear_at_goal","rand_seed","cost","run_time","comment","method_source","date_edit"
"42","map_8by8_obst12_agents8_ex2.yaml","12400F","whoenig-origin","0","-1","55","25.5309","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:37:39"
"43","map_8by8_obst12_agents8_ex2.yaml","12400F","whoenig-origin","0","-1","55","25.5458","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:38:44"
"44","map_8by8_obst12_agents8_ex3.yaml","12400F","whoenig-origin","0","-1","70","0.013442","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:39:26"
"45","map_8by8_obst12_agents8_ex3.yaml","12400F","whoenig-origin","0","-1","70","0.013092","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:39:28"
"46","map_8by8_obst12_agents8_ex3.yaml","12400F","whoenig-origin","0","-1","70","0.013229","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:39:29"
"47","map_8by8_obst12_agents8_ex3.yaml","12400F","whoenig-origin","0","-1","70","0.013295","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:39:30"
"48","map_8by8_obst12_agents8_ex3.yaml","12400F","whoenig-origin","0","-1","70","0.019155","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:39:32"
"49","map_8by8_obst12_agents8_ex4.yaml","12400F","whoenig-origin","0","-1","64","64.5997","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:40:45"
"50","map_8by8_obst12_agents8_ex4.yaml","12400F","whoenig-origin","0","-1","64","64.4169","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:42:27"
"51","map_8by8_obst12_agents8_ex4.yaml","12400F","whoenig-origin","0","-1","64","64.4353","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:44:51"
